Metabolite	KEGG	GWEIGHT	GLU 0.058	GLU 0.108	GLU 0.161	GLU 0.238	GLU 0.311	NH4 0.055	NH4 0.105	NH4 0.173	NH4 0.21	NH4 0.29	PO4 0.056	PO4 0.113	PO4 0.16	PO4 0.223	PO4 0.3	LEU 0.058	LEU 0.11	LEU 0.16	LEU 0.22	LEU 0.286	URA 0.056	URA 0.11	URA 0.15	URA 0.22	URA 0.31
dihydroorotate	C00337	1	-5.136620756	-4.11996982	-3.386865027	-1.618268354	-1.066443943	-2.733386485	-1.731831122	0.163978397	0.21324098	0.332874684	-2.957159709	-1.530581082	-0.866046464	0.185777638	-0.270185581	-0.619688864	-0.174634066	-0.937492377	-0.592604206	-0.028899033	6.064696221	6.003416474	6.105255535	5.759851401	2.941585559
dihydroxyacetone-phosphate	C00111	1	-1.762572354	-1.414480822	-1.016481316	-1.230001636	0.379375444	-0.088142381	0.378390215	0.669917041	0.725427988	0.920266787	-1.976084356	-0.937402984	-0.372407242	1.043601899	1.011815772	0.043507603	0.496045356	0.892886222	1.060661083	1.33698195	-1.016579895	-0.452207371	0.07365946	0.49479099	0.739032545
D-sedoheptulose-7-phosphate	C00281	1	1.665076317	2.283441263	2.587556084	3.132599315	1.186270974	0.125360849	0.015743704	-0.093699219	-0.265108819	0.001103048	-3.404088277	-2.180086933	-1.756949794	-0.035736972	-0.126394095	-0.130844112	-0.192645616	0.224444353	0.366946771	0.399677448	-1.579722526	-1.219251505	-0.848958968	-0.123621668	-0.03111162
dTTP	C00459	1	0.5403212	1.308963214	1.440960496	0.501337647	0.869915192	-1.48306588	0.321502192	1.103410562	1.556765362	0.234519029	-1.700925832	-0.036776632	0.233364869	-0.910448258	-1.534644484	0.679148601	0.800435234	0.651988087	0.808422515	0.618819441	-1.66916242	-2.225087412	-0.803356423	-0.480010088	-0.826396211
FAD	C00016	1	0.284603445	0.569615464	0.014170492	0.46963498	0.014170492	-1.28108521	0.014170492	0.116677435	-0.505403909	-1.776805421	0.014170492	0.491057317	-0.16758273	0.014170492	-0.476638748	0.094426353	0.44607615	0.017684368	-0.089355035	-0.170998046	0.94694923	0.001242539	0.618012609	0.326866259	0.014170492
FMN	C00061	1	-0.266370783	0.054886969	0.226927629	0.297991616	-0.266370783	-0.266370783	-0.266370783	-0.266370783	-0.266370783	-0.266370783	-0.266370783	-0.266370783	-0.266370783	-0.266370783	-0.202479085	-0.266370783	-0.266370783	-0.266370783	-0.266370783	0.046876024	0.482458534	1.273684518	1.246561153	0.693963062	-0.125308679
"fructose-1,6-bisphosphate"	C00354	1	-2.014775258	-1.932635012	-1.583597297	-1.842411441	1.825630824	0.107154115	1.930151558	1.641429607	1.486949706	1.504295978	-4.884360594	-2.872195821	-2.034837549	0.617451808	1.100813276	0.572333715	1.485186078	1.784490973	1.844179287	2.276328681	-1.447250721	-0.620440367	-0.018511967	0.464147395	0.610473028
fumarate	C00122	1	-1.271879535	-0.892768676	-0.559997424	0.145234043	0.045652272	2.829114699	1.859869223	2.06364716	1.964353876	1.897337283	-0.980124306	-0.852390286	-1.285760425	0.202903574	-0.80737233	1.061986186	-0.170742883	-0.852156536	-0.632794482	-1.186366281	-1.182151738	-1.227827392	-0.531361672	0.322323756	0.041271893
glutamate	C00025	1	1.564303615	1.002326885	1.275928939	0.610903349	0.318581795	-0.676489233	-0.732031537	0.378501569	0.369330268	0.375099801	0.110032325	0.177805824	0.164857968	-0.061258526	-0.557582238	0.111179584	-0.095142739	0.057636837	-0.187498752	0.062892693	-1.176199865	-0.939018573	-0.837685896	-0.537923046	-0.778551047
glutamine	C00064	1	-0.023655415	-0.385707213	-0.371001981	0.09125974	0.031624598	-3.068557937	-3.04703727	-1.332056752	-0.061268669	1.076530142	1.508343063	1.36508703	0.910936615	1.371918636	0.640715708	0.070319919	0.842442265	1.044695701	0.990278154	0.331661559	-1.086004426	-0.842936158	-0.669612496	0.048952442	0.563072746
glutathione	C00051	1	1.23503546	0.386102562	0.315386787	-0.454147245	-0.768528712	-0.136431506	-1.075141187	-0.070187187	-0.341082619	-0.914697288	0.784907062	0.651242472	0.583312978	0.591639226	-0.221294478	0.956055894	0.643186699	0.463222998	0.101692737	-0.548577277	0.105834164	-0.223820139	-0.216084801	-0.633072808	-1.214553793
glutathione disulfide	C00127	1	0.98133392	0.648707494	-0.022313672	-0.081219383	-2.181480852	0.336883566	-1.600207593	0.770467399	0.347952581	-1.255197692	1.122040461	0.952639411	1.094867377	0.591715387	-1.032856826	1.196046893	0.845390357	0.140760102	-0.295483815	-0.907119667	0.455679119	-0.03794822	-0.028033935	-0.556217895	-1.486404516
glycerate	C00258	1	0.310613095	0.139527131	-0.008214421	-0.147288883	-0.322711183	-0.755501369	-0.322711183	-0.463048747	-0.448769335	0.110756096	1.756370546	1.214845938	0.047803264	0.421836254	-0.368182111	1.64904624	0.796525524	-0.114038642	0.012983319	-0.284318505	-0.458779677	-1.053293143	-0.537777657	-0.828872819	-0.346799733
glycine	C00037	1	-0.230902154	-0.230902154	-0.230902154	-0.230902154	-0.230902154	-1.481618221	-0.230902154	-0.506268298	1.155152321	2.111812945	-0.230902154	-0.230902154	-0.230902154	-0.230902154	-0.230902154	0.493703617	0.531907029	0.730984417	-0.073657623	0.282626366	-0.145753612	-0.487102297	-0.769208959	-0.167505114	0.86485112
GMP	C00144	1	0.269106753	0.269106753	0.269106753	0.269106753	0.269106753	-0.369640114	0.269106753	-0.665506356	-0.027274322	-1.13907647	0.269106753	0.553619564	0.269106753	0.020007219	0.246725535	0.269106753	0.269106753	0.269106753	0.269106753	0.269106753	-0.569848609	-0.229676951	-0.186548558	-0.441945916	-0.689222817
GTP	C00044	1	0.076208335	0.466815836	0.84864709	0.098714464	1.176286991	-0.502280289	0.166769976	0.058151837	0.318822855	0.162256564	-1.325049448	-0.753900077	-0.168414438	0.625722373	0.133380684	-0.204706731	-0.233638647	-0.036748979	-0.006533019	0.471258125	-0.661990098	-0.492044906	-0.360651707	-0.14473671	0.287659919
guanine	C00242	1	1.244522788	1.244522788	1.244522788	-0.379695297	1.244522788	-1.178595134	1.444281581	-1.178595134	-1.139388716	-1.178595134	2.652829636	1.191484397	0.336338355	-0.506085356	-0.88691365	0.563720863	0.039816794	0.784183881	0.718484924	-0.379695297	-1.167287327	-1.178595134	-1.178595134	-1.178595134	-1.178595134
guanosine	C00387	1	0.355083466	0.355083466	0.355083466	-1.004035093	0.355083466	-0.041526931	0.355083466	-2.168289599	-2.253201873	-2.444988201	4.863589048	2.71339505	1.639391858	0.252003628	-0.013077174	1.799356423	-0.321680384	0.332206296	0.625884314	-0.614189626	-0.057428796	-0.696431237	-0.943096335	-1.256460308	-2.186838388
hexose-phosphate	C00092/C00103/C00085/C01094	1	0.663631374	0.707637178	1.043289227	0.549459396	1.516376045	-0.436600675	1.491255025	0.133426004	0.083516962	0.287681494	-2.310898547	-1.171060946	-0.744069131	0.729462966	0.370648024	-0.142995187	0.034466324	0.064832137	0.239048492	0.524135585	-1.509390602	-1.208046289	-0.562153586	-0.132545276	-0.221105993
histidine	C00135	1	-1.364311658	-2.902464717	-1.559236403	-1.140708326	0.407030419	-3.466186693	-2.36829115	-1.811183679	-0.577931427	1.211351244	0.664407832	0.572406116	0.310197513	0.713111589	-0.016129277	2.81760476	2.285568869	2.414984874	1.91462872	0.977119033	0.121076435	-0.255267911	-0.000427241	0.51398288	0.538668198
histidinol	C00860	1	-2.820243178	-2.632251653	-2.098723529	-1.470022466	-1.201894698	-1.955192482	-1.805751258	-0.728055284	-0.049350439	1.671797202	-0.19389269	-0.404145918	-0.250853967	1.059039981	0.838442601	0.371153473	1.150295577	1.844825196	1.901846686	1.879900456	0.653262806	0.896126345	0.486361024	1.158076214	1.69925
hypoxanthine	C00262	1	1.065598053	1.065598053	1.065598053	0.053328927	1.065598053	-0.966176417	1.065598053	-0.966176417	-0.966176417	-0.966176417	1.47908367	0.160731989	0.160731989	0.160731989	0.160731989	0.053328927	0.053328927	0.053328927	0.053328927	0.053328927	-0.040564124	-0.966176417	-0.966176417	-0.966176417	-0.966176417
inosine	C00294	1	-1.43026971	-1.496047507	-1.496047507	-1.750389056	-1.496047507	-2.527956629	-1.496047507	-2.527956629	-2.450040983	-2.440534846	7.720148211	4.527655726	3.357681976	2.185842522	0.974783795	1.032818705	-0.143191032	0.419192217	-0.246303668	-1.48685467	1.520527564	1.37282682	0.194844754	-0.662878311	-1.655756727
isocitrate	C00311	1	1.520175031	1.227039924	1.58589465	2.888536502	-0.787694948	2.762908635	1.988738856	0.579733951	0.285409973	-3.11251442	1.776408495	1.465762051	1.255011863	1.343792385	0.865009861	0.123388796	0.022687704	-0.641055925	-0.674840886	-0.077447202	-2.126535996	-3.11251442	-3.11251442	-3.11251442	-2.932866037
leucine/isoleucine	C00407/C00123	1	-1.220066648	-1.758645164	-1.561711227	-0.628115116	-1.364467846	-1.935689926	-1.711100332	-0.612515291	0.114822333	0.779199326	0.500140815	0.699911642	0.459233056	1.091246939	0.448793876	0.79472347	0.99594693	1.549262026	2.255697325	2.513993815	-0.21001939	-0.561899764	-0.454763962	-0.204063534	0.020086644
lysine	C00047	1	-1.305218713	-1.420964987	-1.420964987	-0.364163488	-0.88893624	-2.70011244	-1.420964987	-2.285821553	-1.204317391	0.447332855	1.247115974	1.273146793	0.697603515	0.173765963	0.149033417	3.42561865	2.274150689	1.771756143	1.666234706	0.879913678	0.674455728	-0.903636041	-0.275289439	-0.249476281	-0.240261563
malate	C00149	1	-1.164713157	-0.023209982	0.547456027	1.296902793	-1.802701404	1.530289683	0.603402886	1.093037088	1.066041053	-0.098797254	0.132323824	-0.279483101	-0.211365758	0.607476845	0.019805157	0.339594235	0.087330119	-0.17394249	-0.587634876	-0.689242924	-1.136354067	-0.788186629	-0.295738632	0.350161942	-0.42245138
methionine	C00073	1	-2.367123919	-2.130834483	-1.952591429	0.44722358	-1.371121611	-1.905646625	-2.338997879	-0.231473462	0.333045182	0.779925253	1.186406426	1.442879057	1.246405541	1.423102961	1.404081199	-0.041846744	0.538734619	1.262992821	1.246812812	1.271406432	-1.414326745	-0.202889266	0.080227761	0.454053016	0.839555503
N-acetyl-glucosamine-1-phosphate	C04256	1	-1.994019022	-1.217070303	-1.171766529	0.143248082	0.261190541	1.154609529	-0.66806265	0.162030109	0.510769002	0.940478093	-2.998289325	-1.39282362	-0.345052208	0.579112867	0.422581495	1.644329869	1.002104552	0.590730116	0.857802222	0.998358787	0.68340893	-0.417380988	-0.130814104	0.228154961	0.156369593
N-acetyl-glutamine	C00000	1	0.121692741	0.117466582	0.117466582	-1.720537908	0.117466582	-0.452452894	0.117466582	-0.996169891	-0.131024562	-0.62579595	2.047572932	1.860108109	1.524802958	1.336816725	-0.166839492	-0.15232632	0.461759323	0.766962798	-0.036322456	-0.937695254	-0.668583766	-0.779247463	-1.648940218	-0.366586515	0.092940773
NAD+	C00003	1	1.524819425	0.952160443	0.87947301	0.146905684	0.24412356	-0.369064497	-0.321917159	-0.062524089	-0.087076477	0.056473571	-1.100769067	-1.186815309	-0.804024017	-0.538359272	-0.179198869	0.428991375	0.205807967	0.412984965	0.466311407	0.240379131	-0.031689217	-0.1707918	0.207880293	-0.522602737	-0.39147832
NADH	C00004	1	-1.754467997	-1.453786565	-1.453786565	-1.77486825	-1.453786565	-0.490467981	-1.280544995	-0.637395702	1.114880412	1.038544747	-1.453786565	-1.101897391	-1.085918019	1.442704324	1.093371814	1.101895222	1.527996409	2.32737639	2.481757141	2.039318372	-0.906132114	-1.256377841	0.43555984	0.176256852	1.323555026
NADP+	C00006	1	-0.463385231	0.392375362	1.09116355	-0.238234984	-0.129797928	-0.457690616	-0.72282241	1.043951574	0.687089664	-0.267862018	-1.336897663	-0.493500139	-0.182847995	0.402083743	0.476076169	-0.062062319	1.224087677	0.596883637	0.440696433	-0.150499993	-0.655261348	-0.810695589	0.862010605	-0.799834184	-0.445025996
N-carbamoyl-L-aspartate	C00438	1	-3.375172111	-2.679792763	-2.647177772	-2.822044394	-1.047036459	-2.223332051	-1.514923868	1.023439379	0.42189814	-0.05782913	-2.822044394	-1.640741126	-0.704890711	0.820192113	-0.164377379	-1.142646833	-0.184849759	-2.64953314	-2.054011413	-2.519705482	6.30318004	6.354651353	6.660792633	5.597107477	3.068847651
nicotinate	C00253	1	-0.825017647	-1.043506394	-0.226472589	0.316047047	0.868803075	0.658017057	0.002218784	0.414934909	0.823592863	1.128169096	0.069677781	0.998342689	0.420775351	0.828344791	0.704488175	-2.344554552	-1.666096057	-0.73959463	0.081271569	0.246065352	-0.803912076	-0.228421254	-0.046118818	0.150519192	0.212426287
