Metabolite	KEGG	GWEIGHT	GLU 0.058	GLU 0.108	GLU 0.161	GLU 0.238	GLU 0.311	NH4 0.055	NH4 0.105	NH4 0.173	NH4 0.21	NH4 0.29	PO4 0.056	PO4 0.113	PO4 0.16	PO4 0.223	PO4 0.3	LEU 0.058	LEU 0.11	LEU 0.16	LEU 0.22	LEU 0.286	URA 0.056	URA 0.11	URA 0.15	URA 0.22	URA 0.31
trehalose-6-phosphate	C00689	1	-0.282006602	-0.669312043	-1.321840836	-2.142374785	-2.033521635	1.261623334	0.776466224	0.607534033	0.481323972	0.213589153	-0.418764914	-0.062030318	-0.338474421	-0.161768522	-0.713805348	1.597275257	1.068389018	0.970836495	0.626546622	0.408019006	0.004495931	0.160182274	0.618611716	0.181059508	-0.83205312
tryptophan	C00078	1	-0.511126063	-1.17875866	-1.517471529	-0.71748697	-2.203610064	-2.089561676	-1.79795721	-0.968992841	-0.380120104	0.701993858	0.368721884	0.23154064	0.278397439	0.312385602	-0.162565998	2.583899946	2.792842929	2.713046343	2.235230728	1.453269914	-0.144280415	-0.63664603	-0.639286378	-0.424153796	-0.29931155
tyrosine	C00082	1	-0.454214029	-1.444396384	-2.217049416	-1.079673051	-2.527722997	-1.705816144	-2.200218036	-1.357076885	-0.524316954	-0.091069139	0.640985659	0.382354724	0.008870113	0.292977674	-1.794994639	4.181497871	4.322950508	4.079245822	3.650324577	2.46783464	-0.172617232	-0.7329389	-1.040869788	-1.213348195	-1.470719798
UDP-D-glucose	C00029	1	1.959486695	2.073772085	2.342155097	1.979687786	1.157554458	0.863124595	0.570290009	0.428833942	0.476953903	-0.560119221	-1.970034798	-1.412042036	-0.515171221	-0.014899791	-0.459147472	0.688055276	0.161645084	0.440369512	0.4327399	0.028571865	-2.174306513	-2.159668611	-1.529364577	-1.688858809	-1.119627158
UDP-N-acetyl-glucosamine	C00043	1	0.037869489	0.365869125	0.573720912	0.12407702	0.368526556	1.185216968	1.4647786	1.372618712	1.475888096	0.259642144	-1.761133299	-0.310101607	-0.138585706	0.157902195	-0.860079389	1.416780587	1.152952811	1.017655337	0.851535785	0.315235422	-2.128793524	-2.420339896	-1.529510825	-1.770557213	-1.221168301
uridine	C00299	1	0.275351544	0.275351544	0.275351544	-0.017733656	0.275351544	-0.122019628	0.275351544	-0.122019628	-0.122019628	-0.122019628	2.728582911	1.003589893	-0.186116124	-0.911447201	-2.806788609	-0.017733656	-0.017733656	-0.017733656	-0.017733656	-0.017733656	-0.122019628	-0.122019628	-0.122019628	-0.122019628	-0.122019628
UTP	C00075	1	0.703956896	1.470443589	1.464855527	0.894575475	1.600932005	-0.150982696	0.28871736	0.426567722	0.602426862	0.529586884	-2.027402867	-1.103409083	-0.635716777	0.459816241	0.518349257	0.100387278	0.663263422	0.703895537	1.42948957	1.546232262	-3.084662471	-2.804999258	-1.829833401	-1.982288452	0.215799119
valine	C00183	1	-1.290997503	-1.343829267	-1.359194981	-0.554981536	-0.784048977	-1.876894496	-1.274381004	-0.653448033	0.028540954	1.318346976	0.105737527	0.445499755	0.397698652	1.328303092	0.919165204	1.096846016	1.633194599	1.370436061	1.084244152	0.523367562	0.006142713	-0.550443061	-0.549624252	-0.475212746	0.455532591
xanthine	C00385	1	0.328464271	0.328464271	0.328464271	0.202043596	0.328464271	-0.917986615	0.328464271	-0.917986615	-0.917986615	-0.917986615	1.759236306	0.675736644	0.675736644	0.675736644	0.675736644	0.916603037	0.432597872	0.202043596	0.202043596	0.202043596	-0.917986615	-0.917986615	-0.917986615	-0.917986615	-0.917986615
ribose-phosphate	C00117/C00620	1	-0.439221889	0.136664617	0.290012673	0.684482767	1.285754408	-0.114396841	-0.192708361	0.340246869	0.572070015	0.984004851	-3.544880673	-2.123813591	-1.01336572	0.852414157	1.019866619	-0.189620843	0.026400501	0.767965997	0.630531966	0.875043684	-1.078936326	-0.564883637	-0.143010621	0.389280391	0.550098989
